Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2099002,JOLLY PUMPKIN PIZZERIA & BREWERY,JOLLY PUMPKIN PIZZERIA & BREWERY,2542553,Restaurant,Risk 1 (High),5215 S HARPER AVE ,CHICAGO,IL,60616,10/17/2017,License,Pass,,41.80058037,-87.58893178,"(41.800580373689755, -87.58893178370808)"
2099028,FRANNIE'S CAFE,COLUMBIA COLLEGE / FRANNIE'S CAFE,2551098,Restaurant,Risk 2 (Medium),1104 S WABASH AVE ,CHICAGO,IL,60605,10/17/2017,License Re-Inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: Violation corrected. Water temperature of women's restroom washbowl sink is 89.2F; water temperature in men's restroom washbowl sink is 85.6F.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed missing faucet sensor on right side of sink in women's restroom. Right side does not work. Must repair and maintain. ",41.86906252,-87.6260158,"(41.86906251655677, -87.6260157982796)"
2099027,SNAIL THAI CUISINE,SNAIL THAI CUISINE,1617795,Restaurant,Risk 1 (High),1649 E 55TH ST ,CHICAGO,IL,60615,10/17/2017,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPLACE DAMAGED GASKETS ON BEVERAGE REACH-IN COOLER NEAR BASEMENT AND UPRIGHT TWO-DOOR REACH-IN COOLER IN PREP AREA. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ICE MACHINE, COOKING EQUIPMENT, SINKS, ROLLING CARTS, PREP TABLES, COOLERS AND FREEZERS. CLEAN AND MAINTAIN ALL GASKETS ON PREP AND REACH-IN COOLERS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: GROUT LOOSE FLOOR TILES IN PREP AREA. CLEAN FLOORS ALONG WALLS AND CORNERS IN BASEMENT(DEAD ROACHES). | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR LEAKING DRANIPIPE UNDER EXPOSED SINK IN PREP AREA. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: PROVIDE THERMOMETER IN PREP COOLER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR IN WALK-IN FREEZER, PREP AND STORAGE AREAS. STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: PROVIDE FOOD HANDLER TRAINING FOR ALL EMPLOYEES.",41.79510794,-87.58467767,"(41.79510794419416, -87.58467767057986)"
2099021,DS TEQUILA CO.,DS TEQUILA CO.,2542467,Restaurant,Risk 1 (High),3350-3352 N HALSTED ST ,CHICAGO,IL,60657,10/17/2017,License,Fail,,41.94331836,-87.64951476,"(41.94331835640129, -87.64951475556387)"
2099016,DS TEQUILA CO.,DS TEQUILA CO.,2542468,Restaurant,Risk 1 (High),3350-3352 N HALSTED ST ,CHICAGO,IL,60657,10/17/2017,License,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED SMALL FLY ACTIVITY IN BASEMENT IN CORNER BEHIND STEAMER. NOTED APPROX. 35 SMALL FLIES ON WALLS AND CEILING IN THIS AREA. INSTRUCTED TO ELIMINATE FLY ACTIVITY AND RECOMMENDED SERVICE BY LICENSED PEST CONTROL. OBSERVED APPROX. 3/4 INCH GAP ALONG TOP EDGE OF PATIO FRONT DOOR (A BEVERAGE STATION EXISTS WITHIN THE PATIO AREA WHERE DRINKS ARE PREPARED FOR SERVICE). MUST ELIMINATE GAP TO THE OUTSIDE AND MAINTAIN ALL DOORS AND WINDOWS TO BE PEST AND RODENT PROOF. SERIOUS VIOLATION: 7-38-020 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN INTERIOR OF LIGHT SHIELDS ABOVE COOK LINE. MUST CLEAN SODA GUN NOZZLES OF GRAYISH RESIDUE. MUST CLEAN STICKY RESIDUE ACCUMULATING IN BETWEEN THE COILS OF THE METAL SODA GUN PIPING THAT ATTACHES TO THE GUN HEAD. MUST CLEAN DUST ACCUMULATION ON FAN COVERS IN WALK IN COOLER AND BAR 2 DOOR UPRIGHT COOLER.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST NOT STORE LIQUOR BOTTLES UNDER EXPOSED SEWER LINES IN LIQUOR ROOM. MUST PROVIDE GUTTERS UNDER EXPOSED LINES OR RELOCATE BOTTLES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR WALL TO LEFT OF STEAMER UNIT IN BASEMENT, WHERE DRYWALL PANELING IS EXPOSED. MUST MAINTAIN WALLS TO BE SMOOTH, NON-ABSORBENT AND EASILY CLEANABLE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INSTALL FAUCETS, WITH HOT AND COLD WATER UNDER CITY PRESSURE ABOVE THE TOP LOADING FROZEN DRINK MACHINES AT THE FRONT HALF OF THE BAR.  | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: MUST INSTALL A HANDSINK, WITH HOT AND COLD WATER UNDER CITY PRESSURE AT 'DS COMPANY SHOT BAR' ON PATIO, WHERE SODA GUNS AND ICE BINS ARE LOCATED FOR DRINK PREPARATION. CRITICAL VIOLATION: 7-38-030",41.94331836,-87.64951476,"(41.94331835640129, -87.64951475556387)"
2099012,TOTS LAND,TOTS LAND,2216030,Children's Services Facility,Risk 1 (High),7460 W Addison ST ,CHICAGO,IL,60634,10/17/2017,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED (FRONT AND REAR BOTTOM DOORS HAS NOW BEEN RODENT PROOFED). | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO CLEAN AND REORGANIZE REAR STORAGE OUTSIDE SHED ROOM. MUST REMOVE UNNECESSARY ARTICLES TO PREVENT PEST HARBORAGE. USABLE ITEMS MUST BE STORED 6' OFF THE FLOOR FOR EASY ACCESS ON CLEANING.",41.94523205,-87.81420343,"(41.94523205137915, -87.81420342972842)"
2099007,FIRST CHURCH OF LOVE AND FAITH,FIRST CHURCH OF LOVE AND FAITH,1379677,Restaurant,Risk 1 (High),2147 W 79TH ST ,CHICAGO,IL,60620,10/17/2017,Canvass,No Entry,,41.75006593,-87.67748987,"(41.75006593345204, -87.67748987304653)"
2099013,CUTIE PIE'S KITCHEN,CUTIE PIE'S KITCHEN,2437716,Restaurant,Risk 1 (High),752 W 78TH ST ,CHICAGO,IL,60620,10/17/2017,Canvass Re-Inspection,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION CORRECTED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: OBSERVED TWO CURRENT FEMALE EMPLOYEES NOT HAVE IDPH FOOD HANDLER CERTIFICATES. INSTRUCTED TO PROVIDE IDPH FOOD HANDLER CERTIFICATES. | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: VIOLATION CORRECTED. FACILITY PROVIDED CHLORINE TEST STRIPS.",41.75256556,-87.64377758,"(41.752565562880314, -87.64377758039586)"
2099006,"LA V BAKERY, INC","LA V BAKERY, INC",2550054,Bakery,Risk 2 (Medium),2338 S KEDZIE AVE ,CHICAGO,IL,60623,10/17/2017,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTEDNO EVIDENCE OF FLIES ON SITE | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: CORRECTEDGARBAGE CONTAINER NOW ON SITE | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: CORRECTEDJOSE REYES HAS TAKEN SANITATION CLASS AND PASSED EXAM ON 9-23-17 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CORRECTED",41.8487905,-87.70531098,"(41.84879049508066, -87.70531098155864)"
2099003,JOLLY PUMPKIN PIZZERIA & BREWERY,JOLLY PUMPKIN PIZZERIA & BREWERY,2542552,Restaurant,Risk 3 (Low),5215 S HARPER AVE ,CHICAGO,IL,60616,10/17/2017,License,Pass,,41.80058037,-87.58893178,"(41.800580373689755, -87.58893178370808)"
2098995,"11 DINING, LLC",FOODA SWITCHING STATIONS,2559668,Restaurant,Risk 1 (High),440 S LA SALLE ST ,CHICAGO,IL,60605,10/17/2017,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: Violation corrected. Log book has been provided for inspection.  | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: Violation corrected. Facility has a letter from building management stating agreement to use building garbage removal service. ",41.87588847,-87.63188472,"(41.87588847004054, -87.63188472119873)"
2098993,KENNEDY KING COLLEGE,KENNEDY KING COLLEGE,2419579,Restaurant,Risk 1 (High),6343 S HALSTED ST ,CHICAGO,IL,60621,10/17/2017,Canvass,Pass w/ Conditions,"3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: FOUND POTENTIALLY HAZARDOUS FOODS AT IMPROPER TEMPERATURES DURING STORAGE.  FOUND RAW CHICKEN, RAW TURKEY PATTIES AND RAW BEEF AT 51.9F, 50.2F AND 50.9F IN THE FRONT GRILL AREA COOLER.  INSTRUCTED THAT ALL POTENTIALLY HAZARDOUS FOODS MUST BE MAINTAINED AT 40F OR BELOW AT ALL TIMES.  FOOD WAS DISCARDED BY EMPLOYEE WEIGHING AT 10 LBS VALUE $60.  CRITICAL VIOLATION 7-38-005(A). | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CITY OF CHICAGO FOOD SANITATION CERTIFICATE POSTED ON PREMISES.  MUST HAVE VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATES POSTED AT ALL TIMES FOR MANAGERS ON DUTY.  SERIOUS VIOLATION 7-38-012 ISSUED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND MAINTAIN THE FOLLOWING:  EXTERIOR SURFACES OF COOKING EQUIPMENT TO REMOVE GREASE (FRYERS, GRILL), INTERIOR BOTTOMS OF FRYERS, INTERIORS OF REFRIGERATION UNITS, CAN OPENER AT PREP TABLE, INTERIOR OF STOVE AND INTERIOR PANEL OF ICE MACHINE. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS UNDER AROUND AND BEHIND COOKING EQUIPMENT TO REMOVE GREASE.  CLEAN FLOORS AROUND UNDER AND BEHIND SINKS, INSIDE WALK-IN COOLER UNDER SHELVES, IN STORAGE ROOM UNDER SHELVES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST CORRECT THE FOLLOWING PLUMBING ISSUES:  THE 1 COMP RINSE SINK AT THE DISH MACHINE IS CLOGGED; MUST UNCLOG.  A VALVE UNDERNEATH THE EXPOSED HAND SINK IN THE DISH WASHING AREA IS LEAKING; REPAIR LEAK FROM THE VALVE.  CLEAN THE INTERIOR OF THE EXPOSED HAND SINK IN THE DISH WASHING AREA.  THE BACK FLOW VALVE ABOVE THE UTILITY SINK LEAKS WHEN THE WATER IS TURNED ON AT THE SINK; REPAIR LEAK FROM VALVE.",41.77847294,-87.64460838,"(41.77847294299346, -87.64460837934621)"
2098983,COUGAR FUEL,ST XAVIER COUGAR FUEL (SHANNON CENTER),2464645,Restaurant,Risk 1 (High),3800 W 103RD ST ,CHICAGO,IL,60655,10/17/2017,Canvass,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO HOT OR COLD RUNNING WATER UNDER CITY PRESSURE ABOVE TOP LOADING SOFT SERVE MACHINE. INSTD TO PROVIDE.,41.70608827,-87.71607715,"(41.706088266160116, -87.71607715391127)"
2098976,LITTLE KIDS VILLAGE LEARNING,LITTLE KIDS VILLAGE LEARNING,2418331,Daycare Above and Under 2 Years,Risk 1 (High),3732 W 63RD ST ,CHICAGO,IL,60629,10/17/2017,License,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED RAW WOOD CABINETS INSTALLED IN REAR PREP AREA. INSTRUCTED TO SEAL THE CABINETS. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED THE TOASTER NOT CLEAN, INSTRUCTED TO CLEAN.",41.77886107,-87.7167453,"(41.77886107394306, -87.7167453023694)"
2098974,TBD,TBD,2551380,Restaurant,Risk 1 (High),3848 N HARLEM AVE ,CHICAGO,IL,60634,10/17/2017,License,Pass,,41.95034769,-87.80732945,"(41.95034769269968, -87.80732944580947)"
2098972,TBD,TBD,2551384,Restaurant,Risk 1 (High),3848 N HARLEM AVE ,CHICAGO,IL,60634,10/17/2017,License,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN FLOORS INSIDE WALK-IN COOLER (BY FRONT ENTRANCE DOOR) AND FLOORS ALONG THE WALLS AND IN ALL CORNERS BEHIND FRONT AND REAR BAR). | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO RESEAL UNSEALED WALL BEHIND SODA SYRUP BOXES BEHIND FRONT BAR. ",41.95034769,-87.80732945,"(41.95034769269968, -87.80732944580947)"
